,trackName,artistName,trackID,trackURI,duration (min),popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1603,Favorite Song,Chance the Rapper,1sFstGV1Z3Aw5TDFCiT7vK,spotify:track:1sFstGV1Z3Aw5TDFCiT7vK,3.08,64,0.725,0.601,1,-9.03,0.377,0.0321,0.0,0.0504,0.811,155.918
1604,Freaks And Geeks,Childish Gambino,7xTY3rJMgj0nh6OOPHgsLw,spotify:track:7xTY3rJMgj0nh6OOPHgsLw,3.62,59,0.667,0.873,10,-5.605,0.314,0.124,0.0,0.0725,0.799,81.052
1605,Thoughts from a Balcony,Mac Miller,79VMlcpvgHkxz0xwsTfc9d,spotify:track:79VMlcpvgHkxz0xwsTfc9d,3.1,66,0.48,0.64,6,-6.153,0.323,0.158,0.0,0.109,0.475,87.327
1606,Nikes On My Feet,Mac Miller,29GefKRTSVW3ag4Xegm8jP,spotify:track:29GefKRTSVW3ag4Xegm8jP,2.74,72,0.8,0.569,9,-5.104,0.265,0.563,0.0,0.111,0.589,92.063
1607,Nights,Frank Ocean,7eqoqGkKwgOaWNNHx90uEZ,spotify:track:7eqoqGkKwgOaWNNHx90uEZ,5.12,80,0.457,0.551,5,-9.36,0.167,0.427,1.15e-06,0.113,0.428,89.87
1608,Super Rich Kids,Frank Ocean,0725YWm6Z0TpZ6wrNk64Eb,spotify:track:0725YWm6Z0TpZ6wrNk64Eb,5.08,75,0.739,0.419,3,-8.241,0.0854,0.219,0.0,0.196,0.58,60.493
1609,Top,Lil Uzi Vert,55Q46o5adtSobImSKrrlqW,spotify:track:55Q46o5adtSobImSKrrlqW,3.93,66,0.776,0.762,0,-4.356,0.216,0.193,0.0,0.18,0.678,120.039
1610,Super Saiyan,Lil Uzi Vert,2sO7QVPRKEPyY5RcG3N6Ic,spotify:track:2sO7QVPRKEPyY5RcG3N6Ic,2.44,50,0.855,0.775,10,-3.856,0.392,0.187,0.0,0.15,0.37,128.067
1611,No Church In The Wild,JAY-Z,3Osd3Yf8K73aj4ySn6LrvK,spotify:track:3Osd3Yf8K73aj4ySn6LrvK,4.54,80,0.654,0.75,8,-7.509,0.105,0.246,0.0178,0.167,0.557,92.78
1612,Run This Town,JAY-Z,7LR85XLWw2yXqKBSI5brbG,spotify:track:7LR85XLWw2yXqKBSI5brbG,4.46,78,0.632,0.924,1,-1.802,0.29,0.281,0.0,0.263,0.441,86.844
1613,3 Peat,Lil Wayne,58PWl2rA7lU90UBvDufzWm,spotify:track:58PWl2rA7lU90UBvDufzWm,3.32,57,0.769,0.66,9,-7.37,0.33,0.00112,0.0,0.078,0.471,153.092
1614,A Milli,Lil Wayne,6ScJMrlpiLfZUGtWp4QIVt,spotify:track:6ScJMrlpiLfZUGtWp4QIVt,3.7,70,0.674,0.695,6,-8.636,0.278,0.0387,0.00202,0.194,0.773,151.486
1615,Shoes,Lil Wayne,5yHevmbP3PEex0kxP2cBc5,spotify:track:5yHevmbP3PEex0kxP2cBc5,4.65,56,0.789,0.584,1,-8.583,0.292,0.00595,0.0,0.332,0.485,83.014
1616,Swagga Like Us,T.I.,2kNtAwWATYkqV3CdT20RV0,spotify:track:2kNtAwWATYkqV3CdT20RV0,5.46,52,0.58,0.817,4,-5.009,0.214,0.00163,0.0,0.118,0.238,89.008
1617,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,03tqyYWC9Um2ZqU0ZN849H,spotify:track:03tqyYWC9Um2ZqU0ZN849H,4.4,77,0.76,0.595,1,-6.366,0.0391,0.00544,0.0,0.241,0.361,131.497
1618,Lemonade,Gucci Mane,6rUcS9i07F6okIe8wujs5J,spotify:track:6rUcS9i07F6okIe8wujs5J,4.1,59,0.741,0.658,7,-7.758,0.0853,0.643,3.43e-06,0.307,0.746,142.057
